,Date,County,Avg_PM2.5,AQI_Category
117,2020-01-06,Harney,19.0875,Moderate
118,2020-01-06,Jackson,7.668055555555553,Good
119,2020-01-06,Jefferson,1.85833333333333,Good
120,2020-01-06,Josephine,8.147222222222235,Good
121,2020-01-06,Klamath,10.4458333333333,Good
122,2020-01-06,Lake,4.85416666666667,Good
123,2020-01-06,Lane,4.069444444444443,Good
124,2020-01-06,Linn,3.6652777777777765,Good
125,2020-01-06,Marion,2.8,Good
126,2020-01-06,Multnomah,1.9430555555555564,Good
127,2020-01-06,Umatilla,3.27916666666667,Good
128,2020-01-06,Union,7.07916666666667,Good
129,2020-01-06,Wallowa,2.68333333333333,Good
130,2020-01-06,Wasco,,NA
131,2020-01-06,Washington,2.3805555555555564,Good
132,2020-01-07,Baker,10.5583333333333,Good
133,2020-01-07,Benton,2.6375,Good
134,2020-01-07,Clackamas,,NA
135,2020-01-07,Crook,5.2166666666666694,Good
136,2020-01-07,Deschutes,2.166666666666665,Good
137,2020-01-07,Douglas,4.89583333333333,Good
138,2020-01-07,Grant,,NA
139,2020-01-07,Harney,17.1333333333333,Moderate
140,2020-01-07,Jackson,11.383333333333333,Good
141,2020-01-07,Jefferson,2.125,Good
142,2020-01-07,Josephine,6.06875,Good
143,2020-01-07,Klamath,17.9791666666667,Moderate
144,2020-01-07,Lake,13.779166666666699,Moderate
145,2020-01-07,Lane,3.4444444444444433,Good
146,2020-01-07,Linn,2.6472222222222235,Good
147,2020-01-07,Marion,2.3583333333333303,Good
148,2020-01-07,Multnomah,1.7458333333333365,Good
149,2020-01-07,Umatilla,4.9,Good
150,2020-01-07,Union,3.84583333333333,Good
151,2020-01-07,Wallowa,3.525,Good
152,2020-01-07,Wasco,,NA
153,2020-01-07,Washington,2.538888888888887,Good
154,2020-01-08,Baker,5.39583333333333,Good
155,2020-01-08,Benton,2.2,Good
156,2020-01-08,Clackamas,,NA
157,2020-01-08,Crook,6.49583333333333,Good
158,2020-01-08,Deschutes,1.8875,Good
159,2020-01-08,Douglas,4.2833333333333306,Good
160,2020-01-08,Grant,,NA
161,2020-01-08,Harney,13.1791666666667,Moderate
162,2020-01-08,Jackson,7.666666666666665,Good
163,2020-01-08,Jefferson,3.625,Good
164,2020-01-08,Josephine,6.108333333333331,Good
165,2020-01-08,Klamath,2.12083333333333,Good
166,2020-01-08,Lake,2.59166666666667,Good
167,2020-01-08,Lane,2.9500000000000006,Good
168,2020-01-08,Linn,3.3263888888888897,Good
169,2020-01-08,Marion,4.4625,Good
170,2020-01-08,Multnomah,2.6819444444444436,Good
171,2020-01-08,Umatilla,2.3875,Good
172,2020-01-08,Union,4.86666666666667,Good
173,2020-01-08,Wallowa,2.3583333333333303,Good
174,2020-01-08,Wasco,,NA
175,2020-01-08,Washington,3.863888888888887,Good
176,2020-01-09,Baker,7.3125,Good
177,2020-01-09,Benton,4.92083333333333,Good
178,2020-01-09,Clackamas,,NA
179,2020-01-09,Crook,7.3,Good
180,2020-01-09,Deschutes,3.025,Good
181,2020-01-09,Douglas,3.80416666666667,Good
182,2020-01-09,Grant,8.04166666666667,Good
183,2020-01-09,Harney,7.99166666666667,Good
184,2020-01-09,Jackson,8.125,Good
185,2020-01-09,Jefferson,9.43333333333333,Good
186,2020-01-09,Josephine,4.979166666666667,Good
187,2020-01-09,Klamath,4.66666666666667,Good
188,2020-01-09,Lake,5.83333333333333,Good
189,2020-01-09,Lane,5.137500000000002,Good
190,2020-01-09,Linn,6.236111111111113,Good
191,2020-01-09,Marion,6.175,Good
